communicate round 1  accuracy: 0.0999000072479248
communicate round 2  accuracy: 0.37720000743865967
communicate round 3  accuracy: 0.45910003781318665
communicate round 4  accuracy: 0.773200273513794
communicate round 5  accuracy: 0.6795998811721802
communicate round 6  accuracy: 0.7594000101089478
communicate round 7  accuracy: 0.7817999124526978
communicate round 8  accuracy: 0.8449000120162964
communicate round 9  accuracy: 0.7626000046730042
communicate round 10  accuracy: 0.8782998323440552
communicate round 11  accuracy: 0.8669000864028931
communicate round 12  accuracy: 0.8908000588417053
communicate round 13  accuracy: 0.8584999442100525
communicate round 14  accuracy: 0.8942998051643372
communicate round 15  accuracy: 0.8711998462677002
communicate round 16  accuracy: 0.8964000344276428
communicate round 17  accuracy: 0.8976000547409058
communicate round 18  accuracy: 0.9045999646186829
communicate round 19  accuracy: 0.9224001169204712
communicate round 20  accuracy: 0.9243999123573303
communicate round 21  accuracy: 0.9066001176834106
communicate round 22  accuracy: 0.902899980545044
communicate round 23  accuracy: 0.9287998676300049
communicate round 24  accuracy: 0.9337999224662781
communicate round 25  accuracy: 0.9195002317428589
communicate round 26  accuracy: 0.9203000664710999
communicate round 27  accuracy: 0.9308000206947327
communicate round 28  accuracy: 0.9333998560905457
communicate round 29  accuracy: 0.9386000037193298
communicate round 30  accuracy: 0.9362000226974487
communicate round 31  accuracy: 0.9444000720977783
communicate round 32  accuracy: 0.9352998733520508
communicate round 33  accuracy: 0.9299001097679138
communicate round 34  accuracy: 0.933499813079834
communicate round 35  accuracy: 0.9459998607635498
communicate round 36  accuracy: 0.9475999474525452
communicate round 37  accuracy: 0.9356998801231384
communicate round 38  accuracy: 0.9506999850273132
communicate round 39  accuracy: 0.9509000778198242
communicate round 40  accuracy: 0.9497998356819153
communicate round 41  accuracy: 0.9505002498626709
communicate round 42  accuracy: 0.9458998441696167
communicate round 43  accuracy: 0.9544999599456787
communicate round 44  accuracy: 0.9496002197265625
communicate round 45  accuracy: 0.9541001915931702
communicate round 46  accuracy: 0.9518000483512878
communicate round 47  accuracy: 0.9565997123718262
communicate round 48  accuracy: 0.9560999870300293
communicate round 49  accuracy: 0.958099901676178
communicate round 50  accuracy: 0.9502000212669373
communicate round 51  accuracy: 0.9601002931594849
communicate round 52  accuracy: 0.9573000073432922
communicate round 53  accuracy: 0.9642001390457153
communicate round 54  accuracy: 0.963100016117096
communicate round 55  accuracy: 0.9599999189376831
communicate round 56  accuracy: 0.964600145816803
communicate round 57  accuracy: 0.9575000405311584
communicate round 58  accuracy: 0.9586998820304871
communicate round 59  accuracy: 0.9644999504089355
communicate round 60  accuracy: 0.9647000432014465
communicate round 61  accuracy: 0.9593000411987305
communicate round 62  accuracy: 0.9625999927520752
communicate round 63  accuracy: 0.9645001292228699
communicate round 64  accuracy: 0.9656999707221985
communicate round 65  accuracy: 0.96399986743927
communicate round 66  accuracy: 0.9637999534606934
communicate round 67  accuracy: 0.9627000689506531
communicate round 68  accuracy: 0.9672999978065491
communicate round 69  accuracy: 0.9668999910354614
communicate round 70  accuracy: 0.9621002078056335
communicate round 71  accuracy: 0.9658001661300659
communicate round 72  accuracy: 0.9674999713897705
communicate round 73  accuracy: 0.9675999879837036
communicate round 74  accuracy: 0.9683998823165894
communicate round 75  accuracy: 0.966499924659729
communicate round 76  accuracy: 0.9676999449729919
communicate round 77  accuracy: 0.9716998338699341
communicate round 78  accuracy: 0.9666999578475952
communicate round 79  accuracy: 0.9711999893188477
communicate round 80  accuracy: 0.9627999663352966
communicate round 81  accuracy: 0.9704000353813171
communicate round 82  accuracy: 0.97409987449646
communicate round 83  accuracy: 0.9732999205589294
communicate round 84  accuracy: 0.9730997085571289
communicate round 85  accuracy: 0.9723001718521118
communicate round 86  accuracy: 0.9694998860359192
communicate round 87  accuracy: 0.9613000750541687
communicate round 88  accuracy: 0.9686999917030334
communicate round 89  accuracy: 0.9712001085281372
communicate round 90  accuracy: 0.9745998978614807
communicate round 91  accuracy: 0.9726999998092651
communicate round 92  accuracy: 0.9669997692108154
communicate round 93  accuracy: 0.9746001362800598
communicate round 94  accuracy: 0.9680999517440796
communicate round 95  accuracy: 0.973099946975708
communicate round 96  accuracy: 0.9750999808311462
communicate round 97  accuracy: 0.9756001830101013
communicate round 98  accuracy: 0.9732998609542847
communicate round 99  accuracy: 0.9725000262260437
communicate round 100  accuracy: 0.9760000109672546
communicate round 101  accuracy: 0.9741001129150391
communicate round 102  accuracy: 0.9765000939369202
communicate round 103  accuracy: 0.9678001403808594
communicate round 104  accuracy: 0.9726999998092651
communicate round 105  accuracy: 0.9728999137878418
communicate round 106  accuracy: 0.9764999151229858
communicate round 107  accuracy: 0.976800262928009
communicate round 108  accuracy: 0.975600004196167
communicate round 109  accuracy: 0.9722000956535339
communicate round 110  accuracy: 0.9779998660087585
communicate round 111  accuracy: 0.9750999808311462
communicate round 112  accuracy: 0.9769999980926514
communicate round 113  accuracy: 0.9750999808311462
communicate round 114  accuracy: 0.9757000803947449
communicate round 115  accuracy: 0.9793998599052429
communicate round 116  accuracy: 0.9781000018119812
communicate round 117  accuracy: 0.9744999408721924
communicate round 118  accuracy: 0.9786001443862915
communicate round 119  accuracy: 0.9757999777793884
communicate round 120  accuracy: 0.9729999899864197
communicate round 121  accuracy: 0.9793000817298889
communicate round 122  accuracy: 0.978399932384491
communicate round 123  accuracy: 0.9766998887062073
communicate round 124  accuracy: 0.9779001474380493
communicate round 125  accuracy: 0.9772000908851624
communicate round 126  accuracy: 0.9760000109672546
communicate round 127  accuracy: 0.9778000712394714
communicate round 128  accuracy: 0.9777999520301819
communicate round 129  accuracy: 0.9782001972198486
communicate round 130  accuracy: 0.9790000915527344
communicate round 131  accuracy: 0.9784002304077148
communicate round 132  accuracy: 0.9764999747276306
communicate round 133  accuracy: 0.9791998863220215
communicate round 134  accuracy: 0.9758999347686768
communicate round 135  accuracy: 0.9761999249458313
communicate round 136  accuracy: 0.9790999889373779
communicate round 137  accuracy: 0.9767001271247864
communicate round 138  accuracy: 0.9724999070167542
communicate round 139  accuracy: 0.9757999777793884
communicate round 140  accuracy: 0.9773001074790955
communicate round 141  accuracy: 0.9802999496459961
communicate round 142  accuracy: 0.9763000011444092
communicate round 143  accuracy: 0.9778000712394714
communicate round 144  accuracy: 0.9797999858856201
communicate round 145  accuracy: 0.9801999926567078
communicate round 146  accuracy: 0.978900134563446
communicate round 147  accuracy: 0.9782001376152039
communicate round 148  accuracy: 0.9788001775741577
communicate round 149  accuracy: 0.9776002168655396
communicate round 150  accuracy: 0.9782001376152039
communicate round 151  accuracy: 0.9738001823425293
communicate round 152  accuracy: 0.9806000590324402
communicate round 153  accuracy: 0.9758999943733215
communicate round 154  accuracy: 0.9803001880645752
communicate round 155  accuracy: 0.9783999919891357
communicate round 156  accuracy: 0.9790000915527344
communicate round 157  accuracy: 0.9807999730110168
communicate round 158  accuracy: 0.9764999151229858
communicate round 159  accuracy: 0.9772999882698059
communicate round 160  accuracy: 0.979699969291687
communicate round 161  accuracy: 0.9818999767303467
communicate round 162  accuracy: 0.9752999544143677
communicate round 163  accuracy: 0.9807000756263733
communicate round 164  accuracy: 0.978900134563446
communicate round 165  accuracy: 0.9792001247406006
communicate round 166  accuracy: 0.9787001013755798
communicate round 167  accuracy: 0.9751001596450806
communicate round 168  accuracy: 0.9811000823974609
communicate round 169  accuracy: 0.9809998869895935
communicate round 170  accuracy: 0.9785999059677124
communicate round 171  accuracy: 0.9812999367713928
communicate round 172  accuracy: 0.9810999631881714
communicate round 173  accuracy: 0.9800000786781311
communicate round 174  accuracy: 0.982400119304657
communicate round 175  accuracy: 0.9793999791145325
communicate round 176  accuracy: 0.9733998775482178
communicate round 177  accuracy: 0.9806999564170837
communicate round 178  accuracy: 0.9807001352310181
communicate round 179  accuracy: 0.9771998524665833
communicate round 180  accuracy: 0.9797002077102661
communicate round 181  accuracy: 0.9804000854492188
communicate round 182  accuracy: 0.9805999398231506
communicate round 183  accuracy: 0.9803999662399292
communicate round 184  accuracy: 0.9827999472618103
communicate round 185  accuracy: 0.9830000996589661
communicate round 186  accuracy: 0.9807001948356628
communicate round 187  accuracy: 0.9797000885009766
communicate round 188  accuracy: 0.9806000590324402
communicate round 189  accuracy: 0.9826999306678772
communicate round 190  accuracy: 0.9822001457214355
communicate round 191  accuracy: 0.9830998778343201
communicate round 192  accuracy: 0.9797999858856201
communicate round 193  accuracy: 0.9815000891685486
communicate round 194  accuracy: 0.9775999188423157
communicate round 195  accuracy: 0.9820001721382141
communicate round 196  accuracy: 0.9808001518249512
communicate round 197  accuracy: 0.9811999797821045
communicate round 198  accuracy: 0.9809998273849487
communicate round 199  accuracy: 0.9811000823974609
communicate round 200  accuracy: 0.9829999208450317
