communicate round 1  accuracy: 0.7443998456001282
communicate round 2  accuracy: 0.8846002221107483
communicate round 3  accuracy: 0.9121999740600586
communicate round 4  accuracy: 0.9272000193595886
communicate round 5  accuracy: 0.9363999962806702
communicate round 6  accuracy: 0.9444000720977783
communicate round 7  accuracy: 0.9505999684333801
communicate round 8  accuracy: 0.9549998044967651
communicate round 9  accuracy: 0.9598999619483948
communicate round 10  accuracy: 0.960900068283081
communicate round 11  accuracy: 0.9656001329421997
communicate round 12  accuracy: 0.9699000120162964
communicate round 13  accuracy: 0.9699000120162964
communicate round 14  accuracy: 0.971299946308136
communicate round 15  accuracy: 0.973099946975708
communicate round 16  accuracy: 0.9752998948097229
communicate round 17  accuracy: 0.9754000902175903
communicate round 18  accuracy: 0.9768999218940735
communicate round 19  accuracy: 0.9782999753952026
communicate round 20  accuracy: 0.9779000878334045
communicate round 21  accuracy: 0.9784998893737793
communicate round 22  accuracy: 0.979900062084198
communicate round 23  accuracy: 0.9798998832702637
communicate round 24  accuracy: 0.9811999797821045
communicate round 25  accuracy: 0.9805999398231506
communicate round 26  accuracy: 0.9814999103546143
communicate round 27  accuracy: 0.9816999435424805
communicate round 28  accuracy: 0.9826998710632324
communicate round 29  accuracy: 0.9826999306678772
communicate round 30  accuracy: 0.9825999140739441
communicate round 31  accuracy: 0.9827999472618103
communicate round 32  accuracy: 0.9832999110221863
communicate round 33  accuracy: 0.983199954032898
communicate round 34  accuracy: 0.9835999608039856
communicate round 35  accuracy: 0.983299970626831
communicate round 36  accuracy: 0.9834999442100525
communicate round 37  accuracy: 0.9836999773979187
communicate round 38  accuracy: 0.9843999147415161
communicate round 39  accuracy: 0.9841998815536499
communicate round 40  accuracy: 0.9843999147415161
communicate round 41  accuracy: 0.9849998950958252
communicate round 42  accuracy: 0.9844998717308044
communicate round 43  accuracy: 0.9845999479293823
communicate round 44  accuracy: 0.9846999645233154
communicate round 45  accuracy: 0.98499995470047
communicate round 46  accuracy: 0.9852999448776245
communicate round 47  accuracy: 0.9852999448776245
communicate round 48  accuracy: 0.9849000573158264
communicate round 49  accuracy: 0.9857999086380005
communicate round 50  accuracy: 0.9860998392105103
communicate round 51  accuracy: 0.9856998920440674
communicate round 52  accuracy: 0.9856998324394226
communicate round 53  accuracy: 0.9863999485969543
communicate round 54  accuracy: 0.9865999221801758
communicate round 55  accuracy: 0.986599862575531
communicate round 56  accuracy: 0.986599862575531
communicate round 57  accuracy: 0.9864999055862427
communicate round 58  accuracy: 0.9868998527526855
communicate round 59  accuracy: 0.9869998693466187
communicate round 60  accuracy: 0.9868999123573303
communicate round 61  accuracy: 0.9873998761177063
communicate round 62  accuracy: 0.9875998497009277
communicate round 63  accuracy: 0.9873998761177063
communicate round 64  accuracy: 0.9869998097419739
communicate round 65  accuracy: 0.9870998859405518
communicate round 66  accuracy: 0.9875998497009277
communicate round 67  accuracy: 0.9878997802734375
communicate round 68  accuracy: 0.987799882888794
communicate round 69  accuracy: 0.9872997999191284
communicate round 70  accuracy: 0.9875998497009277
communicate round 71  accuracy: 0.9878997802734375
communicate round 72  accuracy: 0.9874998331069946
communicate round 73  accuracy: 0.9876998066902161
communicate round 74  accuracy: 0.9874998331069946
communicate round 75  accuracy: 0.9877998232841492
communicate round 76  accuracy: 0.9883998036384583
communicate round 77  accuracy: 0.9881998300552368
communicate round 78  accuracy: 0.9876998066902161
communicate round 79  accuracy: 0.9880998134613037
communicate round 80  accuracy: 0.9882998466491699
communicate round 81  accuracy: 0.9883998036384583
communicate round 82  accuracy: 0.9878998398780823
communicate round 83  accuracy: 0.988199770450592
communicate round 84  accuracy: 0.9878998398780823
communicate round 85  accuracy: 0.9873998165130615
communicate round 86  accuracy: 0.9880998134613037
communicate round 87  accuracy: 0.9877997636795044
communicate round 88  accuracy: 0.9879997968673706
communicate round 89  accuracy: 0.9872997999191284
communicate round 90  accuracy: 0.9879997968673706
communicate round 91  accuracy: 0.9884998202323914
communicate round 92  accuracy: 0.9887998104095459
communicate round 93  accuracy: 0.9885998368263245
communicate round 94  accuracy: 0.9886998534202576
communicate round 95  accuracy: 0.9887998700141907
communicate round 96  accuracy: 0.988399863243103
communicate round 97  accuracy: 0.9882999062538147
communicate round 98  accuracy: 0.9881998300552368
communicate round 99  accuracy: 0.9887999296188354
communicate round 100  accuracy: 0.9888998866081238
communicate round 101  accuracy: 0.9889997839927673
communicate round 102  accuracy: 0.989399790763855
communicate round 103  accuracy: 0.989399790763855
communicate round 104  accuracy: 0.9896997809410095
communicate round 105  accuracy: 0.988899827003479
communicate round 106  accuracy: 0.9891998767852783
communicate round 107  accuracy: 0.9892998337745667
communicate round 108  accuracy: 0.988899827003479
communicate round 109  accuracy: 0.9888998866081238
communicate round 110  accuracy: 0.9893998503684998
communicate round 111  accuracy: 0.9892998933792114
communicate round 112  accuracy: 0.9897999167442322
communicate round 113  accuracy: 0.9900998473167419
communicate round 114  accuracy: 0.9894998073577881
communicate round 115  accuracy: 0.9892998933792114
communicate round 116  accuracy: 0.989399790763855
communicate round 117  accuracy: 0.9892998337745667
communicate round 118  accuracy: 0.9900998473167419
communicate round 119  accuracy: 0.9906998872756958
communicate round 120  accuracy: 0.9896998405456543
communicate round 121  accuracy: 0.9894998073577881
communicate round 122  accuracy: 0.9896997809410095
communicate round 123  accuracy: 0.9898998141288757
communicate round 124  accuracy: 0.9896998405456543
communicate round 125  accuracy: 0.9893998503684998
communicate round 126  accuracy: 0.9900998473167419
communicate round 127  accuracy: 0.9896998405456543
communicate round 128  accuracy: 0.9894998073577881
communicate round 129  accuracy: 0.989399790763855
communicate round 130  accuracy: 0.9899998307228088
communicate round 131  accuracy: 0.9898998737335205
communicate round 132  accuracy: 0.9897998571395874
communicate round 133  accuracy: 0.9898998737335205
communicate round 134  accuracy: 0.9899998903274536
communicate round 135  accuracy: 0.9900998473167419
communicate round 136  accuracy: 0.9899998307228088
communicate round 137  accuracy: 0.990199863910675
communicate round 138  accuracy: 0.9900998473167419
communicate round 139  accuracy: 0.9896997809410095
communicate round 140  accuracy: 0.9899998307228088
communicate round 141  accuracy: 0.9901999235153198
communicate round 142  accuracy: 0.9902998805046082
communicate round 143  accuracy: 0.990199863910675
communicate round 144  accuracy: 0.9906998872756958
communicate round 145  accuracy: 0.9904998540878296
communicate round 146  accuracy: 0.990199863910675
communicate round 147  accuracy: 0.9903998970985413
communicate round 148  accuracy: 0.9901998043060303
communicate round 149  accuracy: 0.9897998571395874
communicate round 150  accuracy: 0.9900997877120972
communicate round 151  accuracy: 0.9898998737335205
communicate round 152  accuracy: 0.9898998141288757
communicate round 153  accuracy: 0.9903998970985413
communicate round 154  accuracy: 0.9902998805046082
communicate round 155  accuracy: 0.9897998571395874
communicate round 156  accuracy: 0.9900998473167419
communicate round 157  accuracy: 0.9899998307228088
communicate round 158  accuracy: 0.9901998043060303
communicate round 159  accuracy: 0.9899998307228088
communicate round 160  accuracy: 0.9903998970985413
communicate round 161  accuracy: 0.9904999136924744
communicate round 162  accuracy: 0.9901998043060303
communicate round 163  accuracy: 0.990199863910675
communicate round 164  accuracy: 0.9899998903274536
communicate round 165  accuracy: 0.9904998540878296
communicate round 166  accuracy: 0.9902998208999634
communicate round 167  accuracy: 0.9900998473167419
communicate round 168  accuracy: 0.9899998307228088
communicate round 169  accuracy: 0.9902998805046082
communicate round 170  accuracy: 0.9904998540878296
communicate round 171  accuracy: 0.9897998571395874
communicate round 172  accuracy: 0.9901998043060303
communicate round 173  accuracy: 0.9898998737335205
communicate round 174  accuracy: 0.9901998043060303
communicate round 175  accuracy: 0.9901998043060303
communicate round 176  accuracy: 0.9902998805046082
communicate round 177  accuracy: 0.9903998374938965
communicate round 178  accuracy: 0.9903998970985413
communicate round 179  accuracy: 0.9902998208999634
communicate round 180  accuracy: 0.9907999038696289
communicate round 181  accuracy: 0.9909998774528503
communicate round 182  accuracy: 0.9902998208999634
communicate round 183  accuracy: 0.9906998872756958
communicate round 184  accuracy: 0.9899998307228088
communicate round 185  accuracy: 0.9904998540878296
communicate round 186  accuracy: 0.9906998872756958
