communicate round 1  accuracy: 0.3586999773979187
communicate round 2  accuracy: 0.5153999328613281
communicate round 3  accuracy: 0.3979998826980591
communicate round 4  accuracy: 0.5849000215530396
communicate round 5  accuracy: 0.42020002007484436
communicate round 6  accuracy: 0.7367998361587524
communicate round 7  accuracy: 0.5986998081207275
communicate round 8  accuracy: 0.6778000593185425
communicate round 9  accuracy: 0.7923000454902649
communicate round 10  accuracy: 0.784400224685669
communicate round 11  accuracy: 0.8187998533248901
communicate round 12  accuracy: 0.8188999891281128
communicate round 13  accuracy: 0.8001998662948608
communicate round 14  accuracy: 0.8642002940177917
communicate round 15  accuracy: 0.8728000521659851
communicate round 16  accuracy: 0.8993996977806091
communicate round 17  accuracy: 0.9093001484870911
communicate round 18  accuracy: 0.8953002095222473
communicate round 19  accuracy: 0.8856999278068542
communicate round 20  accuracy: 0.8801000714302063
communicate round 21  accuracy: 0.9000002145767212
communicate round 22  accuracy: 0.8830000758171082
communicate round 23  accuracy: 0.9074000120162964
communicate round 24  accuracy: 0.8745998740196228
communicate round 25  accuracy: 0.8788999915122986
communicate round 26  accuracy: 0.8922000527381897
communicate round 27  accuracy: 0.9196001291275024
communicate round 28  accuracy: 0.8916000127792358
communicate round 29  accuracy: 0.9004002213478088
communicate round 30  accuracy: 0.8921999335289001
communicate round 31  accuracy: 0.9110000133514404
communicate round 32  accuracy: 0.9262001514434814
communicate round 33  accuracy: 0.9306001663208008
communicate round 34  accuracy: 0.9062999486923218
communicate round 35  accuracy: 0.9126001000404358
communicate round 36  accuracy: 0.9476999640464783
communicate round 37  accuracy: 0.9424000978469849
communicate round 38  accuracy: 0.9493000507354736
communicate round 39  accuracy: 0.925800085067749
communicate round 40  accuracy: 0.8920000195503235
communicate round 41  accuracy: 0.9159999489784241
communicate round 42  accuracy: 0.9399999976158142
communicate round 43  accuracy: 0.9562000036239624
communicate round 44  accuracy: 0.9496002793312073
communicate round 45  accuracy: 0.9494999647140503
communicate round 46  accuracy: 0.9518000483512878
communicate round 47  accuracy: 0.9295001029968262
communicate round 48  accuracy: 0.948199987411499
communicate round 49  accuracy: 0.9613000750541687
communicate round 50  accuracy: 0.958299994468689
communicate round 51  accuracy: 0.9375000596046448
communicate round 52  accuracy: 0.9487001299858093
