communicate round 1  accuracy: 0.2023998498916626
communicate round 2  accuracy: 0.3942992091178894
communicate round 3  accuracy: 0.19909976422786713
communicate round 4  accuracy: 0.3982991874217987
communicate round 5  accuracy: 0.3438994288444519
communicate round 6  accuracy: 0.3166995644569397
communicate round 7  accuracy: 0.22149993479251862
communicate round 8  accuracy: 0.3275992274284363
communicate round 9  accuracy: 0.3651990294456482
communicate round 10  accuracy: 0.19999974966049194
communicate round 11  accuracy: 0.4121989905834198
communicate round 12  accuracy: 0.3977990448474884
communicate round 13  accuracy: 0.2854996621608734
communicate round 14  accuracy: 0.2600997984409332
communicate round 15  accuracy: 0.37449929118156433
communicate round 16  accuracy: 0.33789968490600586
communicate round 17  accuracy: 0.468199759721756
communicate round 18  accuracy: 0.3828987181186676
communicate round 19  accuracy: 0.35209962725639343
communicate round 20  accuracy: 0.32109975814819336
communicate round 21  accuracy: 0.310099720954895
communicate round 22  accuracy: 0.361499547958374
communicate round 23  accuracy: 0.5609003305435181
communicate round 24  accuracy: 0.29069986939430237
communicate round 25  accuracy: 0.5095003843307495
communicate round 26  accuracy: 0.34689977765083313
communicate round 27  accuracy: 0.5196001529693604
communicate round 28  accuracy: 0.6022002696990967
communicate round 29  accuracy: 0.6067997217178345
communicate round 30  accuracy: 0.4001992344856262
communicate round 31  accuracy: 0.5072004199028015
communicate round 32  accuracy: 0.49360015988349915
communicate round 33  accuracy: 0.6014002561569214
communicate round 34  accuracy: 0.5529006123542786
communicate round 35  accuracy: 0.6267001628875732
communicate round 36  accuracy: 0.6143001914024353
communicate round 37  accuracy: 0.6063003540039062
communicate round 38  accuracy: 0.519300639629364
communicate round 39  accuracy: 0.5705006122589111
communicate round 40  accuracy: 0.5668001770973206
communicate round 41  accuracy: 0.5238004326820374
communicate round 42  accuracy: 0.513499915599823
communicate round 43  accuracy: 0.6191001534461975
communicate round 44  accuracy: 0.6186002492904663
communicate round 45  accuracy: 0.5977004170417786
communicate round 46  accuracy: 0.6173005700111389
communicate round 47  accuracy: 0.6061002016067505
communicate round 48  accuracy: 0.5579009056091309
communicate round 49  accuracy: 0.5861003994941711
communicate round 50  accuracy: 0.6080005168914795
communicate round 51  accuracy: 0.5333005785942078
communicate round 52  accuracy: 0.4791998267173767
communicate round 53  accuracy: 0.6928004622459412
communicate round 54  accuracy: 0.6421000957489014
communicate round 55  accuracy: 0.5880002975463867
communicate round 56  accuracy: 0.7298004031181335
communicate round 57  accuracy: 0.7077999114990234
communicate round 58  accuracy: 0.7619002461433411
communicate round 59  accuracy: 0.718000054359436
communicate round 60  accuracy: 0.681499719619751
communicate round 61  accuracy: 0.7708004713058472
communicate round 62  accuracy: 0.79570072889328
communicate round 63  accuracy: 0.8409015536308289
communicate round 64  accuracy: 0.5917004346847534
communicate round 65  accuracy: 0.7955011129379272
communicate round 66  accuracy: 0.725500226020813
communicate round 67  accuracy: 0.6848002076148987
communicate round 68  accuracy: 0.7430998086929321
communicate round 69  accuracy: 0.7310999035835266
communicate round 70  accuracy: 0.6971995830535889
communicate round 71  accuracy: 0.5583003163337708
communicate round 72  accuracy: 0.6434004306793213
communicate round 73  accuracy: 0.7137000560760498
communicate round 74  accuracy: 0.4908999502658844
communicate round 75  accuracy: 0.4699999690055847
communicate round 76  accuracy: 0.6519998908042908
communicate round 77  accuracy: 0.6678999662399292
communicate round 78  accuracy: 0.8145010471343994
communicate round 79  accuracy: 0.5856001377105713
communicate round 80  accuracy: 0.7445006966590881
communicate round 81  accuracy: 0.7375004887580872
communicate round 82  accuracy: 0.8728011846542358
communicate round 83  accuracy: 0.770400881767273
communicate round 84  accuracy: 0.7253003716468811
communicate round 85  accuracy: 0.6086003184318542
communicate round 86  accuracy: 0.7398004531860352
communicate round 87  accuracy: 0.6539007425308228
communicate round 88  accuracy: 0.7394004464149475
communicate round 89  accuracy: 0.708400309085846
communicate round 90  accuracy: 0.8650014996528625
communicate round 91  accuracy: 0.8187018036842346
communicate round 92  accuracy: 0.728000283241272
communicate round 93  accuracy: 0.7839005589485168
communicate round 94  accuracy: 0.7196999192237854
communicate round 95  accuracy: 0.3820991814136505
communicate round 96  accuracy: 0.8378011584281921
communicate round 97  accuracy: 0.871201753616333
communicate round 98  accuracy: 0.8216009140014648
communicate round 99  accuracy: 0.8830015063285828
communicate round 100  accuracy: 0.6857001781463623
communicate round 101  accuracy: 0.7719009518623352
communicate round 102  accuracy: 0.8122006058692932
communicate round 103  accuracy: 0.693400502204895
communicate round 104  accuracy: 0.7641005516052246
communicate round 105  accuracy: 0.8592013120651245
communicate round 106  accuracy: 0.849101722240448
communicate round 107  accuracy: 0.8249006867408752
communicate round 108  accuracy: 0.7256003022193909
communicate round 109  accuracy: 0.858400821685791
communicate round 110  accuracy: 0.8237006664276123
communicate round 111  accuracy: 0.8514016270637512
communicate round 112  accuracy: 0.785800576210022
communicate round 113  accuracy: 0.8751017451286316
communicate round 114  accuracy: 0.8682022094726562
communicate round 115  accuracy: 0.8965021371841431
communicate round 116  accuracy: 0.7399008870124817
communicate round 117  accuracy: 0.8541015386581421
communicate round 118  accuracy: 0.8892012238502502
communicate round 119  accuracy: 0.7986010313034058
communicate round 120  accuracy: 0.8941017985343933
communicate round 121  accuracy: 0.8998012542724609
communicate round 122  accuracy: 0.9072014689445496
communicate round 123  accuracy: 0.744100034236908
communicate round 124  accuracy: 0.9080016613006592
communicate round 125  accuracy: 0.8874015212059021
communicate round 126  accuracy: 0.762200117111206
communicate round 127  accuracy: 0.7108001112937927
communicate round 128  accuracy: 0.7996005415916443
communicate round 129  accuracy: 0.8350017070770264
communicate round 130  accuracy: 0.8397018313407898
communicate round 131  accuracy: 0.8988016247749329
communicate round 132  accuracy: 0.831601619720459
communicate round 133  accuracy: 0.7654008865356445
