communicate round 1  accuracy: 0.20299983024597168
communicate round 2  accuracy: 0.2287001758813858
communicate round 3  accuracy: 0.2851998507976532
communicate round 4  accuracy: 0.16999991238117218
communicate round 5  accuracy: 0.6667006015777588
communicate round 6  accuracy: 0.5722001791000366
communicate round 7  accuracy: 0.6565001606941223
communicate round 8  accuracy: 0.5670009255409241
communicate round 9  accuracy: 0.6725004315376282
communicate round 10  accuracy: 0.7882005572319031
communicate round 11  accuracy: 0.7475012540817261
communicate round 12  accuracy: 0.9162010550498962
communicate round 13  accuracy: 0.9028021097183228
communicate round 14  accuracy: 0.8610012531280518
communicate round 15  accuracy: 0.8154008388519287
communicate round 16  accuracy: 0.9066022634506226
communicate round 17  accuracy: 0.9321011900901794
communicate round 18  accuracy: 0.9034016728401184
communicate round 19  accuracy: 0.9475010633468628
communicate round 20  accuracy: 0.8858013153076172
communicate round 21  accuracy: 0.894601583480835
communicate round 22  accuracy: 0.931401789188385
communicate round 23  accuracy: 0.9293017387390137
communicate round 24  accuracy: 0.8758014440536499
communicate round 25  accuracy: 0.9246018528938293
communicate round 26  accuracy: 0.8512015342712402
communicate round 27  accuracy: 0.9060018658638
communicate round 28  accuracy: 0.9655008912086487
communicate round 29  accuracy: 0.9464015960693359
communicate round 30  accuracy: 0.9334017038345337
communicate round 31  accuracy: 0.9332017302513123
communicate round 32  accuracy: 0.961000919342041
communicate round 33  accuracy: 0.9584013819694519
communicate round 34  accuracy: 0.9711008071899414
communicate round 35  accuracy: 0.9503017067909241
communicate round 36  accuracy: 0.9676005840301514
communicate round 37  accuracy: 0.9604008793830872
communicate round 38  accuracy: 0.921501874923706
communicate round 39  accuracy: 0.973701000213623
communicate round 40  accuracy: 0.9281011819839478
communicate round 41  accuracy: 0.9526014924049377
communicate round 42  accuracy: 0.9400020241737366
communicate round 43  accuracy: 0.9168019890785217
communicate round 44  accuracy: 0.9674009680747986
communicate round 45  accuracy: 0.9643010497093201
communicate round 46  accuracy: 0.976100504398346
communicate round 47  accuracy: 0.9829003810882568
communicate round 48  accuracy: 0.9798004627227783
communicate round 49  accuracy: 0.9526008367538452
communicate round 50  accuracy: 0.9700009226799011
communicate round 51  accuracy: 0.9655012488365173
communicate round 52  accuracy: 0.9441015124320984
communicate round 53  accuracy: 0.9609008431434631
communicate round 54  accuracy: 0.9805008769035339
communicate round 55  accuracy: 0.9712006449699402
communicate round 56  accuracy: 0.9678009152412415
communicate round 57  accuracy: 0.9655011892318726
communicate round 58  accuracy: 0.9565015435218811
communicate round 59  accuracy: 0.9767007827758789
communicate round 60  accuracy: 0.9755006432533264
communicate round 61  accuracy: 0.980500340461731
communicate round 62  accuracy: 0.9771005511283875
communicate round 63  accuracy: 0.9749009013175964
communicate round 64  accuracy: 0.9778006672859192
communicate round 65  accuracy: 0.97560054063797
communicate round 66  accuracy: 0.9654006958007812
communicate round 67  accuracy: 0.9805006980895996
communicate round 68  accuracy: 0.9804004430770874
communicate round 69  accuracy: 0.9713007211685181
communicate round 70  accuracy: 0.963301420211792
communicate round 71  accuracy: 0.9740011692047119
communicate round 72  accuracy: 0.9609013199806213
