communicate round 1  accuracy: 0.09799952805042267
communicate round 2  accuracy: 0.11349935829639435
communicate round 3  accuracy: 0.18769992887973785
communicate round 4  accuracy: 0.3647990822792053
communicate round 5  accuracy: 0.40829887986183167
communicate round 6  accuracy: 0.5930002927780151
communicate round 7  accuracy: 0.5290001034736633
communicate round 8  accuracy: 0.5628005862236023
communicate round 9  accuracy: 0.6823005080223083
communicate round 10  accuracy: 0.6207004189491272
communicate round 11  accuracy: 0.7062003016471863
communicate round 12  accuracy: 0.7039009928703308
communicate round 13  accuracy: 0.7398998737335205
communicate round 14  accuracy: 0.7901999354362488
communicate round 15  accuracy: 0.6957001090049744
communicate round 16  accuracy: 0.7748005390167236
communicate round 17  accuracy: 0.8186007142066956
communicate round 18  accuracy: 0.7722011208534241
communicate round 19  accuracy: 0.729900062084198
communicate round 20  accuracy: 0.7829000353813171
communicate round 21  accuracy: 0.7830001711845398
communicate round 22  accuracy: 0.8004007339477539
communicate round 23  accuracy: 0.7919998168945312
communicate round 24  accuracy: 0.8503004908561707
communicate round 25  accuracy: 0.7899007201194763
communicate round 26  accuracy: 0.8324006795883179
communicate round 27  accuracy: 0.7628000378608704
communicate round 28  accuracy: 0.8279999494552612
communicate round 29  accuracy: 0.8223008513450623
communicate round 30  accuracy: 0.8480014204978943
communicate round 31  accuracy: 0.8234007954597473
communicate round 32  accuracy: 0.7985008358955383
communicate round 33  accuracy: 0.8502014875411987
communicate round 34  accuracy: 0.8988012671470642
communicate round 35  accuracy: 0.8887009620666504
communicate round 36  accuracy: 0.8226009607315063
communicate round 37  accuracy: 0.8509001135826111
communicate round 38  accuracy: 0.8828011155128479
communicate round 39  accuracy: 0.8038007020950317
communicate round 40  accuracy: 0.8053001165390015
communicate round 41  accuracy: 0.8933016061782837
communicate round 42  accuracy: 0.8316008448600769
communicate round 43  accuracy: 0.8326006531715393
communicate round 44  accuracy: 0.8858009576797485
communicate round 45  accuracy: 0.8498015403747559
communicate round 46  accuracy: 0.8726012110710144
communicate round 47  accuracy: 0.879701554775238
communicate round 48  accuracy: 0.8890013098716736
communicate round 49  accuracy: 0.834100604057312
communicate round 50  accuracy: 0.8518012762069702
communicate round 51  accuracy: 0.8276005983352661
communicate round 52  accuracy: 0.8116006255149841
communicate round 53  accuracy: 0.8462012410163879
communicate round 54  accuracy: 0.875801146030426
communicate round 55  accuracy: 0.8683013319969177
communicate round 56  accuracy: 0.8688013553619385
communicate round 57  accuracy: 0.9037011861801147
communicate round 58  accuracy: 0.8799014091491699
communicate round 59  accuracy: 0.8572006225585938
communicate round 60  accuracy: 0.8589009046554565
communicate round 61  accuracy: 0.8748015761375427
communicate round 62  accuracy: 0.8955014944076538
communicate round 63  accuracy: 0.880601167678833
communicate round 64  accuracy: 0.879001259803772
communicate round 65  accuracy: 0.8918015956878662
communicate round 66  accuracy: 0.8079003691673279
communicate round 67  accuracy: 0.8608008027076721
communicate round 68  accuracy: 0.8859010934829712
communicate round 69  accuracy: 0.9061022996902466
communicate round 70  accuracy: 0.8759016990661621
communicate round 71  accuracy: 0.8630008101463318
communicate round 72  accuracy: 0.9199016094207764
communicate round 73  accuracy: 0.882501482963562
communicate round 74  accuracy: 0.8815017342567444
communicate round 75  accuracy: 0.9022010564804077
communicate round 76  accuracy: 0.9086014032363892
communicate round 77  accuracy: 0.8769010305404663
communicate round 78  accuracy: 0.8648002743721008
communicate round 79  accuracy: 0.9045011401176453
communicate round 80  accuracy: 0.8954012989997864
communicate round 81  accuracy: 0.8677009344100952
communicate round 82  accuracy: 0.8728010654449463
communicate round 83  accuracy: 0.854000449180603
communicate round 84  accuracy: 0.8705012202262878
communicate round 85  accuracy: 0.8491009473800659
communicate round 86  accuracy: 0.9011011719703674
communicate round 87  accuracy: 0.9015014171600342
communicate round 88  accuracy: 0.8895009756088257
communicate round 89  accuracy: 0.8659010529518127
communicate round 90  accuracy: 0.8860014081001282
communicate round 91  accuracy: 0.8100009560585022
communicate round 92  accuracy: 0.8939018845558167
communicate round 93  accuracy: 0.888901948928833
communicate round 94  accuracy: 0.8647013306617737
communicate round 95  accuracy: 0.8389019966125488
communicate round 96  accuracy: 0.8186008334159851
communicate round 97  accuracy: 0.8906019926071167
communicate round 98  accuracy: 0.8726015090942383
communicate round 99  accuracy: 0.9033010601997375
communicate round 100  accuracy: 0.9015012383460999
communicate round 101  accuracy: 0.9016014337539673
communicate round 102  accuracy: 0.8786014318466187
communicate round 103  accuracy: 0.9015011787414551
communicate round 104  accuracy: 0.8835014700889587
communicate round 105  accuracy: 0.7508001923561096
communicate round 106  accuracy: 0.8883011937141418
communicate round 107  accuracy: 0.8580009341239929
communicate round 108  accuracy: 0.8326014876365662
communicate round 109  accuracy: 0.8817011117935181
communicate round 110  accuracy: 0.906501829624176
communicate round 111  accuracy: 0.8933021426200867
communicate round 112  accuracy: 0.9007009863853455
communicate round 113  accuracy: 0.8831014037132263
communicate round 114  accuracy: 0.9184016585350037
communicate round 115  accuracy: 0.8998016119003296
communicate round 116  accuracy: 0.9032014012336731
communicate round 117  accuracy: 0.8837012052536011
communicate round 118  accuracy: 0.8949020504951477
communicate round 119  accuracy: 0.8966013789176941
communicate round 120  accuracy: 0.9068012833595276
communicate round 121  accuracy: 0.8787010908126831
communicate round 122  accuracy: 0.8595013618469238
communicate round 123  accuracy: 0.8844016790390015
communicate round 124  accuracy: 0.88190096616745
communicate round 125  accuracy: 0.9195014238357544
communicate round 126  accuracy: 0.7743000984191895
communicate round 127  accuracy: 0.8567010164260864
communicate round 128  accuracy: 0.8611006736755371
communicate round 129  accuracy: 0.9073010087013245
communicate round 130  accuracy: 0.8971015810966492
communicate round 131  accuracy: 0.8785017728805542
communicate round 132  accuracy: 0.8920014500617981
communicate round 133  accuracy: 0.89840167760849
communicate round 134  accuracy: 0.8412008285522461
communicate round 135  accuracy: 0.9087019562721252
communicate round 136  accuracy: 0.90370112657547
communicate round 137  accuracy: 0.8682013750076294
communicate round 138  accuracy: 0.8935011029243469
communicate round 139  accuracy: 0.8941019773483276
communicate round 140  accuracy: 0.8813019394874573
communicate round 141  accuracy: 0.8946012258529663
communicate round 142  accuracy: 0.8791015148162842
